Ship,Survey,Sample,Sample type,Latitude,Longitude,Water depth,% Mud,% Sand,% Gravel
Glacier,DF 79,056-PC,piston core,-65.700000,146.517000,2361,11.16,88.84,0.00
Glacier,DFI,19,piston core,-65.683333,119.350000,585,86.00,12.00,2.00
Glacier,DFI,20,grab,-66.925000,110.975000,91,42.00,28.00,30.00
Glacier,DFII,15,grab,-66.266667,110.571667,73,63.00,46.00,1.00
Glacier,DFII,17,gravity core,-66.266670,110.575000,73,87.00,13.00,0.00
Glacier,DFII,19,grab,-66.259500,110.539167,64,3.00,37.00,60.00
Glacier,DFII,22,gravity core,-66.268330,110.553056,66,67.00,33.00,0.00
Glacier,DFII,24,gravity core,-65.405000,109.633333,497,19.00,60.00,21.00
Glacier,DFII,25,gravity core,-65.859000,109.421667,356,25.00,68.00,7.00
Glomar Challenger,DSDP_028,266,drill core,-56.402000,110.112000,4167,,,
Glomar Challenger,DSDP_028,268,drill core,-63.950000,105.155000,3529,,,
HMS Challenger,Challenger,Challenger,unknown,-65.700000,79.800000,3050,,,
Marion Dufresne,MD88,KR 8818,box core,-65.749670,138.200833,615,,,
Marion Dufresne,MD88,KR8813,box core,-57.947666,144.583833,3740,,,
Marion Dufresne,MD88,KR8814,box core,-61.279833,144.441500,4200,,,
Marion Dufresne,MD88,KR8815,box core,-63.304667,141.924667,3880,,,
Marion Dufresne,MD88,KR8816,box core,-64.769333,141.223000,3320,,,
Marion Dufresne,MD88,KR8817,box core,-66.200000,140.500000,180,,,
Marion Dufresne,MD88,KR8818,box core,-65.749666,138.200833,615,,,
Marion Dufresne,MD88,KR8820,box core,-64.935333,129.005833,1670,,,
Marion Dufresne,MD88,KR8822,box core,-64.668500,119.503667,3140,,,
Marion Dufresne,MD88,KR8824,box core,-63.747667,116.747667,2600,,,
Marion Dufresne,MD88,KR8826,box core,-65.237500,112.160333,1735,,,
Marion Dufresne,MD88,KR8827,box core,-63.652333,101.148833,1240,,,
Marion Dufresne,MD88,KR8829,box core,-62.492333,95.885333,3790,,,
Marion Dufresne,MD88,KR8831,box core,-59.000000,89.405500,4595,,,
Marion Dufresne,MD88,MD88787,piston core,-56.383330,145.300000,3020,,,
Nathaniel B. Palmer,NBO01-01,KC-50,box core,-66.788000,57.945000,1563,99.31,0.69,0.00
Nathaniel B. Palmer,NBP01-01,JPC-35,jumbo piston core,-68.285000,72.474000,854,95.00,5.00,0.00
Nathaniel B. Palmer,NBP01-01,JTC-1,trigger core,-66.539000,147.419000,649,99.50,0.50,0.00
Nathaniel B. Palmer,NBP01-01,JTC-10,trigger core,-66.572000,143.086000,850,60.00,40.00,0.00
Nathaniel B. Palmer,NBP01-01,JTC-11,trigger core,-66.563000,143.052000,870,25.00,75.00,0.00
Nathaniel B. Palmer,NBP01-01,JTC-16,trigger core,-66.415000,140.498000,969,90.00,10.00,0.00
Nathaniel B. Palmer,NBP01-01,JTC-17B,trigger core,-66.414000,140.419000,1048,95.00,5.00,0.00
Nathaniel B. Palmer,NBP01-01,JTC-24,trigger core,-68.694000,76.709000,816,99.50,0.50,0.00
Nathaniel B. Palmer,NBP01-01,JTC-25,trigger core,-68.752000,76.703000,848,95.00,5.00,0.00
Nathaniel B. Palmer,NBP01-01,JTC-34,trigger core,-68.251000,72.730000,754,80.00,20.00,0.00
Nathaniel B. Palmer,NBP01-01,JTC-36,trigger core,-68.066000,72.273000,752,99.50,0.50,0.00
Nathaniel B. Palmer,NBP01-01,JTC-39,trigger core,-67.433000,65.216000,987,100.00,0.00,0.00
Nathaniel B. Palmer,NBP01-01,JTC-40,trigger core,-67.176000,65.737000,750,95.00,5.00,0.00
Nathaniel B. Palmer,NBP01-01,JTC-41,trigger core,-67.130000,62.990000,573,95.00,5.00,0.00
Nathaniel B. Palmer,NBP01-01,JTC-42,trigger core,-67.125000,63.003000,850,85.00,15.00,0.00
Nathaniel B. Palmer,NBP01-01,JTC-43A,trigger core,-66.933000,63.122000,483,95.00,5.00,0.00
Nathaniel B. Palmer,NBP01-01,JTC-44,trigger core,-66.936000,63.135000,475,80.00,30.00,0.00
Nathaniel B. Palmer,NBP01-01,KC-12,box core,-66.655000,147.286000,610,,,
Nathaniel B. Palmer,NBP01-01,KC-13,box core,-66.713000,147.142000,645,98.93,1.07,0.00
Nathaniel B. Palmer,NBP01-01,KC-18,box core,-66.017000,93.389000,1103,97.65,2.35,0.00
Nathaniel B. Palmer,NBP01-01,KC-2,box core,-66.552000,147.004000,544,,,
Nathaniel B. Palmer,NBP01-01,KC-22,box core,-66.026000,92.248000,1000,88.98,11.02,0.00
Nathaniel B. Palmer,NBP01-01,KC-26,box core,-68.763000,76.710000,844,,,
Nathaniel B. Palmer,NBP01-01,KC-27B,box core,-68.694000,76.711000,811,,,
Nathaniel B. Palmer,NBP01-01,KC-28,box core,-69.175000,74.863000,809,94.02,5.98,0.00
Nathaniel B. Palmer,NBP01-01,KC-29B,box core,-68.251000,72.731000,783,,,
Nathaniel B. Palmer,NBP01-01,KC-30,box core,-68.208000,72.855000,739,,,
Nathaniel B. Palmer,NBP01-01,KC-31,box core,-68.235000,72.392000,780,,,
Nathaniel B. Palmer,NBP01-01,KC-32,box core,-68.291000,72.474000,821,,,
Nathaniel B. Palmer,NBP01-01,KC-45,box core,-66.934000,63.127000,475,,,
Nathaniel B. Palmer,NBP01-01,KC-46,box core,-66.937000,63.147000,475,,,
Nathaniel B. Palmer,NBP01-01,KC-49,box core,-66.895000,59.364000,1173,97.47,2.53,0.00
Nathaniel B. Palmer,NBP01-01,KC-9,box core,-66.328000,139.555000,823,,,
Polar Duke,PD86-VIII,001-GB,grab,-63.830000,61.872000,210,45.35,52.15,2.51
Polarstern,ANT_VIII/6,PS1805-5,gravity core,-66.189600,35.308500,4149,95.80,4.20,0.00
Polarstern,ANT_VIII/6,PS1806-5,gravity core,-66.112100,34.294200,2953,67.90,32.10,0.00
Polarstern,ANT_VIII/6,PS1807-1,gravity core,-66.107500,34.110800,1866,36.90,63.10,0.00
Polarstern,ANT_VIII/6,PS1811-7,gravity core,-66.086500,33.712700,1146,39.60,60.30,0.00
Polarstern,ANT_VIII/6,PS1812-5,gravity core,-66.063400,33.282200,1360,30.60,69.40,0.00
Polarstern,ANT_VIII/6,PS1813-5,gravity core,-64.952800,33.634700,2224,7.30,92.80,0.00
Polarstern,ANT_VIII/6,PS1817-5,gravity core,-67.992400,33.190500,580,0.60,99.40,0.00
Polarstern,ANT_VIII/6,PS1818-1,gravity core,-67.749700,33.312700,790,7.00,82.30,10.60
Polarstern,ANT_VIII/6,PS1819-5,gravity core,-67.216700,33.498300,1192,13.30,80.40,6.30
Polarstern,ANT_VIII/6,PS1820-5,gravity core,-66.364700,33.768400,1181,17.80,81.50,0.70
Polarstern,ANT_VIII/6,PS1821-5,gravity core,-67.064800,37.479500,4028,94.50,5.00,0.40
Polarstern,ANT_VIII/6,PS1822-1,gravity core,-66.917500,34.300300,3918,22.40,73.50,4.10
Polarstern,ANT_VIII/6,PS1823-1,gravity core,-65.935400,30.827500,4441,98.40,1.60,0.00
Polarstern,ANT_VIII/6,PS1823-6,gravity core,-65.936000,30.828833,4441,98.96,1.04,0.00
Polarstern,ANT_VIII/6,PS1824-1,gravity core,-65.927333,30.642333,4483,98.70,1.29,0.00
Polarstern,ANT_VIII/6,PS1824-2,gravity core,-65.927500,30.641400,4483,96.90,3.00,0.00
Polarstern,ANTVIII-6,PS1821-6,gravity core,-67.065333,37.480500,4027,,,
Polarstern,ANT-XI/4,PS2600-2,gravity core,-63.183300,34.526700,5056,98.20,1.90,0.00
Polarstern,ANT-XI/4,PS2602-3,gravity core,-60.375000,36.581700,5293,96.10,3.80,0.00
Polarstern,ANT-XXIII/9,Co1010,gravity core,-68.802360,77.889250,38,,,
Polarstern,ANT-XXIII/9,Co1011,gravity core,-68.826050,77.771550,8,,,
Polarstern,ANT-XXIII/9,Co1014,gravity core,-68.833067,77.926233,6,,,
Robert Conrad,RC08,70,piston core,-58.050000,155.783000,3301,,,
Robert Conrad,RC08,71,piston core,-58.050000,155.733000,3224,,,
Robert Conrad,RC08,72,piston core,-58.050000,155.650000,3232,,,
Robert Conrad,RC11,93,piston core,-56.300000,51.967000,5373,,,
Robert Conrad,RC17,51,piston core,-65.650000,60.682000,3676,69.08,30.86,0.06
Robert Conrad,RC17,52,piston core,-56.363000,51.972000,5379,,,
Robert Conrad,RC17,56,piston core,-65.398000,37.715000,4794,13.06,86.94,0.00
Robert Conrad,RC17,57,piston core,-61.518000,37.715000,5253,,,
RV Tangaroa,GA217_WEGA,11GC02,gravity core,-66.520000,143.384000,792,82.00,18.00,0.00
RV Tangaroa,GA217_WEGA,11GC03,gravity core,-66.519833,143.384500,791,83.00,17.00,0.00
RV Tangaroa,GA217_WEGA,12GC04,gravity core,-66.542000,143.210833,837,77.00,23.00,0.00
RV Tangaroa,GA217_WEGA,13GB02,grab,-66.556167,143.069167,864,68.00,32.00,0.00
RV Tangaroa,GA217_WEGA,13GC06,gravity core,-66.558333,143.069667,878,77.00,23.00,0.00
RV Tangaroa,GA217_WEGA,14GB03,grab,-66.567833,143.017833,866,61.00,39.00,0.00
RV Tangaroa,GA217_WEGA,14GC07,gravity core,-66.567167,143.019833,866,56.00,44.00,0.00
RV Tangaroa,GA217_WEGA,15GC08,gravity core,-66.566333,143.004833,880,86.00,14.00,0.00
RV Tangaroa,GA217_WEGA,15GC09,gravity core,-66.566333,143.004667,880,70.00,30.00,0.00
RV Tangaroa,GA217_WEGA,16GB04,grab,-66.574333,142.963500,861,65.00,35.00,0.00
RV Tangaroa,GA217_WEGA,16PC01,piston core,-66.574333,142.963500,861,82.00,18.00,0.00
RV Tangaroa,GA217_WEGA,17GB05,grab,-66.549167,143.244167,825,86.00,14.00,0.00
RV Tangaroa,GA217_WEGA,17PC02,piston core,-66.549167,143.244167,825,79.00,21.00,0.00
RV Tangaroa,GA217_WEGA,18GB06,grab,-66.603000,143.333833,815,77.00,23.00,0.00
RV Tangaroa,GA217_WEGA,18PC03,piston core,-66.603000,143.333833,815,77.00,23.00,0.00
RV Tangaroa,GA217_WEGA,19GB07,grab,-66.613500,143.352000,808,68.00,32.00,0.00
RV Tangaroa,GA217_WEGA,19PC04,piston core,-66.613500,143.352000,808,78.00,22.00,0.00
RV Tangaroa,GA217_WEGA,20GB08,grab,-66.627167,143.377833,800,71.00,29.00,0.00
RV Tangaroa,GA217_WEGA,20PC05,piston core,-66.627167,143.377833,800,75.00,25.00,0.00
RV Tangaroa,GA217_WEGA,21PC06,piston core,-66.837500,144.893833,942,79.00,21.00,0.00
RV Tangaroa,GA217_WEGA,22GB09,grab,-66.846167,144.852000,934,85.00,15.00,0.00
RV Tangaroa,GA217_WEGA,22PC07,piston core,-66.846167,144.852000,934,79.00,21.00,0.00
RV Tangaroa,GA217_WEGA,23GB10,grab,-66.499500,143.172000,827,72.00,28.00,0.00
RV Tangaroa,GA217_WEGA,23GB11,grab,-66.499500,143.147667,840,69.00,31.00,0.00
RV Tangaroa,GA217_WEGA,23PC09,piston core,-66.503000,143.147667,840,72.00,28.00,0.00
RV Tangaroa,GA217_WEGA,24GB12,grab,-66.481500,143.136333,815,40.00,60.00,0.00
RV Tangaroa,GA217_WEGA,24PC10,piston core,-66.481500,143.136333,815,49.00,51.00,0.00
RV Tangaroa,GA217_WEGA,25GB13,grab,-66.566333,143.005333,879,58.00,42.00,0.00
RV Tangaroa,GA217_WEGA,25GC13,gravity core,-66.566333,143.005500,843,,,
RV Tangaroa,GA217_WEGA,25PC11,piston core,-66.566333,143.005500,843,82.00,18.00,0.00
RV Tangaroa,GA217_WEGA,26GB14,grab,-66.565333,143.014667,872,51.00,49.00,0.00
RV Tangaroa,GA217_WEGA,26PC12,piston core,-66.565333,143.014667,872,70.00,30.00,0.00
RV Tangaroa,GA217_WEGA,27GB15,grab,-66.520333,143.382333,793,83.00,17.00,0.00
RV Tangaroa,GA217_WEGA,27PC13,piston core,-66.520333,143.382333,793,81.00,19.00,0.00
RV Tangaroa,GA217_WEGA,28GB16,grab,-66.390333,143.321833,739,90.00,10.00,0.00
RV Tangaroa,GA217_WEGA,28GB17,grab,-66.392833,143.319167,735,85.00,15.00,0.00
RV Tangaroa,GA217_WEGA,28PC15,piston core,-66.392833,143.319167,735,88.00,12.00,0.00
RV Tangaroa,GA217_WEGA,29GB18,grab,-66.349500,143.307667,709,84.00,16.00,0.00
RV Tangaroa,GA217_WEGA,29PC16,piston core,-66.349500,143.307667,709,89.00,11.00,0.00
RV Tangaroa,GA217_WEGA,30PC17,piston core,-66.203333,142.901000,554,60.00,41.00,0.00
RV Tangaroa,GA217_WEGA,32GC11,gravity core,-66.199500,143.484500,560,70.00,30.00,0.00
RV Tangaroa,GA217_WEGA,36PC21,piston core,-66.898950,143.879667,3034,,,
RV Tangaroa,GA217_WEGA,36TC04,trigger core,-66.898950,143.879667,3034,,,
Samuel P. Lee,L184AN,10-10G1,gravity core,-64.904490,145.996210,3379,,,
Samuel P. Lee,L184AN,1-A1G1,gravity core,-66.587370,147.361950,611,,,
Samuel P. Lee,L184AN,2-A2GC2,gravity core,-66.133333,147.083333,458,41.00,59.00,10.90
Samuel P. Lee,L184AN,3-A3G1,gravity core,-66.513540,146.172790,253,23.00,77.00,0.00
Samuel P. Lee,L184AN,6-A6G1,gravity core,-65.876130,146.345630,994,,,
Samuel P. Lee,L184AN,8-A8G1,gravity core,-65.563540,146.418940,2635,,,
Samuel P. Lee,L184AN,9-A9G1,gravity core,-65.567280,147.357970,3037,,,
Southern Comfort,357975-Dfranklin,93046,grab,-68.495250,78.900367,75,,,
Southern Comfort,357975-Dfranklin,93006,grab,-68.412517,78.334317,97,87.43,12.39,0.18
Southern Comfort,357975-Dfranklin,93007,grab,-68.410033,78.320483,103,90.66,9.34,0.00
Southern Comfort,357975-Dfranklin,93008,grab,-68.425317,78.315667,45,,,
Southern Comfort,357975-Dfranklin,93011,grab,-68.405083,78.303417,107,80.07,19.73,0.20
Southern Comfort,357975-Dfranklin,93012,grab,-68.402850,78.298950,100,92.09,7.04,0.86
Southern Comfort,357975-Dfranklin,93013,grab,-68.402883,78.295000,102,84.48,15.52,0.00
Southern Comfort,357975-Dfranklin,93019,grab,-68.403917,78.277167,123,88.25,11.75,0.00
Southern Comfort,357975-Dfranklin,93027,grab,-68.431950,78.234383,27,64.74,34.28,0.97
Southern Comfort,357975-Dfranklin,93031,grab,-68.417967,78.214317,101,83.06,10.57,6.37
Southern Comfort,357975-Dfranklin,93032,grab,-68.417100,78.210100,124,81.91,17.75,0.34
Southern Comfort,357975-Dfranklin,93033,grab,-68.415933,78.207250,121,89.24,7.84,2.91
Southern Comfort,357975-Dfranklin,93034,grab,-68.414083,78.204183,86,86.19,13.10,0.71
Southern Comfort,357975-Dfranklin,93035,grab,-68.412383,78.201300,88,62.88,36.79,0.32
Southern Comfort,357975-Dfranklin,93036,grab,-68.410200,78.200717,69,60.37,38.42,1.21
Southern Comfort,357975-Dfranklin,93037,grab,-68.408383,78.193983,95,83.79,7.29,8.92
Southern Comfort,357975-Dfranklin,93038,grab,-68.406817,78.188450,110,90.61,4.41,4.98
Southern Comfort,357975-Dfranklin,93039,grab,-68.405917,78.186483,110,94.72,0.86,4.43
Southern Comfort,357975-Dfranklin,93040,grab,-68.404700,78.181933,85,87.25,6.64,6.10
Southern Comfort,357975-Dfranklin,93043,grab,-68.489750,78.893533,50,,,
Southern Comfort,357975-Dfranklin,93047,grab,-68.497833,78.905817,104,68.06,31.94,0.00
Southern Comfort,357975-Dfranklin,93048,grab,-68.498950,78.909150,105,60.80,39.20,0.00
Southern Comfort,357975-Dfranklin,93050,grab,-68.504783,77.921583,105,68.33,31.67,0.00
Southern Comfort,357975-Dfranklin,93054,grab,-68.519433,77.943033,43,58.88,41.12,0.00
Southern Comfort,357975-Dfranklin,93055,grab,-68.522933,77.950600,35,66.29,33.71,0.00
Southern Comfort,357975-Dfranklin,93057,grab,-68.529167,77.968333,27,85.25,14.75,0.00
Southern Comfort,357975-Dfranklin,93058,grab,-68.531050,77.975950,38,96.49,1.65,1.86
Southern Comfort,357975-Dfranklin,93059,grab,-68.533950,77.984717,42,100.00,0.00,0.00
Southern Comfort,357975-Dfranklin,93060,grab,-68.536700,77.990300,22,84.53,15.47,0.00
Southern Comfort,357975-Dfranklin,93061,grab,-68.541267,77.997367,13,42.24,57.35,0.41
Southern Comfort,357975-Dfranklin,93063,grab,-68.573617,77.838450,59,29.40,70.60,0.00
Southern Comfort,357975-Dfranklin,93069,grab,-68.485000,78.308333,42,,,
Southern Comfort,357975-Dfranklin,93070,grab,-68.458333,78.320000,45,,,
Southern Comfort,357975-Dfranklin,93071,grab,-68.460000,78.346667,43,,,
Southern Comfort,357975-Dfranklin,93099,grab,-68.551933,77.897850,26,,,
Southern Comfort,357975-Dfranklin,93101,grab,-68.529833,77.947533,20,62.69,35.53,1.79
Southern Comfort,357975-Dfranklin,93102,grab,-68.529833,77.947500,21,55.08,44.54,0.38
Southern Comfort,357975-Dfranklin,93103,grab,-68.554167,77.898167,21,60.47,39.53,0.00
Southern Comfort,357975-Dfranklin,93104,grab,-68.556167,77.894667,33,58.06,38.81,3.13
Southern Comfort,357975-Dfranklin,93107,grab,-68.565833,77.899667,31,84.19,15.81,0.00
Southern Comfort,357975-Dfranklin,93108,grab,-68.564500,77.893833,30,91.75,5.64,2.61
Southern Comfort,357975-Dfranklin,93109,grab,-68.566000,77.886167,29,74.91,25.09,0.00
Southern Comfort,357975-Dfranklin,93110,grab,-68.569167,77.894000,16,,,
Southern Comfort,357975-Dfranklin,93111,grab,-68.571667,77.881667,28,69.56,30.44,0.00
Southern Comfort,357975-Dfranklin,93111,grab,-68.571667,77.881667,28,,,
Southern Comfort,357975-Dfranklin,93112,grab,-68.573333,77.893333,0,78.35,21.65,0.00
Southern Comfort,357975-Dfranklin,93113,grab,-68.566667,77.906333,28,64.16,35.84,0.00
Southern Comfort,357975-Dfranklin,93114,grab,-68.570167,77.905833,29,73.51,26.49,0.00
Southern Comfort,357975-Dfranklin,93115,grab,-68.576167,77.891667,29,84.25,15.75,0.00
Southern Comfort,357975-Dfranklin,93116,grab,-68.565667,77.913333,30,87.60,12.40,0.00
Southern Comfort,357975-Dfranklin,93117,grab,-68.561500,77.891833,30,77.55,22.45,0.00
Southern Comfort,357975-Dfranklin,93118,grab,-68.560667,77.896500,30,92.86,6.68,0.46
Southern Comfort,357975-Dfranklin,93119,grab,-68.559667,77.899500,29,50.02,49.98,0.00
Southern Comfort,357975-Dfranklin,93120,grab,-68.564500,77.913333,27,77.10,22.90,0.00
Southern Comfort,357975-Dfranklin,93121,grab,-68.565167,77.902167,29,83.41,16.59,0.00
Southern Comfort,357975-Dfranklin,93131.1,grab,-68.617450,77.789833,50,96.68,3.32,0.00
Southern Comfort,357975-Dfranklin,93132,grab,-68.657617,77.821750,76,84.65,15.35,0.00
Southern Comfort,357975-Dfranklin,93134,grab,-68.649683,77.845933,56,99.16,0.84,0.00
Southern Comfort,357975-Dfranklin,93136,grab,-68.647083,77.881367,14,95.37,4.63,0.00
Southern Comfort,357975-Dfranklin,93137,grab,-68.650667,77.887150,37,98.42,1.58,0.00
Southern Comfort,357975-Dfranklin,93142,grab,-68.623667,77.894400,9,95.90,4.10,0.00
Southern Comfort,357975-Dfranklin,93146,grab,-68.619700,77.789433,57,60.76,39.24,0.00
Southern Comfort,357975-Dfranklin,93150,grab,-68.615500,77.763333,60,64.21,35.79,0.00
Various Russian,RAE_1985-95,3203,grab,-69.505000,74.025000,?,96.74,3.26,0.00
Various Russian,RAE_1985-95,3205,grab,-69.490333,74.857333,400,58.12,40.64,1.24
Various Russian,RAE_1985-95,3207,grab,-69.405833,75.224667,786,12.87,78.31,8.81
Various Russian,RAE_1985-95,3215,piston core,-69.124667,75.863000,664,98.3,1.7,0
Various Russian,RAE_1985-95,3219,grab,-67.415667,75.521333,409,48.84,51.16,0.00
Various Russian,RAE_1985-95,3222,grab,-66.965667,76.223667,336,18.8,81.2,0
Various Russian,RAE_1985-95,3227,grab,-67.878167,75.489167,455,58,42,0
Various Russian,RAE_1985-95,3304,piston core,-69.141000,75.326500,740,61.7,38.3,0
Various Russian,RAE_1985-95,3305,piston core,-69.012833,75.978500,805,91.9,8.1,0
Various Russian,RAE_1985-95,3312,piston core,-68.154333,77.498667,495,40,60,0
Various Russian,RAE_1985-95,3314,grab,-67.718167,77.936500,240,58,42,0
Various Russian,RAE_1985-95,3315,grab,-67.701667,78.015000,220,15,85,0
Various Russian,RAE_1985-95,3316,grab,-67.507000,77.959833,134,20.8,79.2,0
Various Russian,RAE_1985-95,3317,grab,-67.336333,78.108333,260,36.1,63.9,0
Various Russian,RAE_1985-95,3318,grab,-67.214500,78.062167,267,38.3,61.7,0
Various Russian,RAE_1985-95,3319,grab,-67.138500,77.866667,?,13.4,86.6,0
Various Russian,RAE_1985-95,3320,grab,-67.005833,77.655500,195,42,58,0
Various Russian,RAE_1985-95,3321,grab,-67.900000,77.628833,235,24,76,0
Various Russian,RAE_1985-95,3323,piston core,-67.101333,77.135500,295,39,61,0
Various Russian,RAE_1985-95,3324,grab,-67.101333,77.135500,292,34,66,0
Various Russian,RAE_1985-95,3326,grab,-67.296667,77.150000,280,21,79,0
Various Russian,RAE_1985-95,3328,grab,-67.416000,77.361667,322,69.9,30.1,0
Various Russian,RAE_1985-95,3335,grab,-67.950167,77.283333,435,48.64,51.36,0.00
Various Russian,RAE_1985-95,3338,piston core,-67.187667,76.540500,325,45,55,0
Various Russian,RAE_1985-95,3346,grab,-66.183333,76.412000,417,81.1,18.9,0
Various Russian,RAE_1985-95,3606,piston core,-67.997667,75.000500,395,9,91,0
Various Russian,RAE_1985-95,3607,piston core,-67.3577,74.9228,433,,,
Various Russian,RAE_1985-95,3610,piston core,-66.564500,73.199667,612,98.4,1.6,0
Various Russian,RAE_1985-95,3615,piston core,-68.2802,71.8913,587,,,
Various Russian,RAE_1985-95,3616,piston core,-68.4355,71.8690,430,,,
Vema,VM16,116,piston core,-55.100000,147.483000,3296,,,
Vema,VM33,003TW,trigger core,-56.125000,134.263000,4196,,,
Vema,VM33,004TW,trigger core,-56.215000,134.158000,4130,,,
Vema,VM33,005TW,trigger core,-56.092000,131.917000,4402,,,